user_id,registration_import_datetime,user_gender,user_age,user_occupation,user_income_range,referral_code_used,user_income_source,end_of_month_invested_amount,total_buy_amount,total_sell_amount
3751688,2021-08-04 11:41:40,Female,47,IRT,< 10 Juta,used referral,Dari Orang Tua / Anak,0,25000,-125000
3757263,2021-08-05 09:49:23,Female,58,Swasta,Rp 10 Juta - 50 Juta,,Gaji,100000,0,0
3651808,2021-09-12 13:05:04,Male,52,Swasta,Rp 10 Juta - 50 Juta,,Gaji,100000,0,0
3694019,2021-09-17 20:48:04,Male,50,TNI/Polisi,Rp 10 Juta - 50 Juta,,Keuntungan Bisnis,0,0,0
3740290,2021-08-02 13:38:02,Male,64,Pensiunan,> Rp 100 Juta - 500 Juta,,Keuntungan Bisnis,0,0,-1000000
3768820,2021-08-06 08:05:51,Male,60,Swasta,Rp 10 Juta - 50 Juta,,Gaji,0,0,-500000
3745146,2021-08-06 12:00:50,Male,73,Others,< 10 Juta,used referral,Gaji,0,300000,-300000
3345068,2021-08-26 12:31:08,Female,50,Swasta,Rp 10 Juta - 50 Juta,,Gaji,300000,100000,0
3833828,2021-08-16 17:32:51,Female,61,Guru,> Rp 50 Juta - 100 Juta,used referral,Gaji,225000,125000,0
3839758,2021-08-15 22:01:57,Female,54,Guru,Rp 10 Juta - 50 Juta,used referral,Gaji,100000,0,0
3850893,2021-08-18 08:58:52,Male,53,Swasta,Rp 10 Juta - 50 Juta,,Gaji,0,0,-500000
3826803,2021-08-13 21:56:18,Male,56,Swasta,Rp 10 Juta - 50 Juta,,Lainnya,200000,100000,0
3788093,2021-08-07 21:32:16,Female,53,Swasta,> Rp 50 Juta - 100 Juta,,Gaji,15000000,5000000,0
3786289,2021-09-01 11:57:40,Male,52,Pengusaha,< 10 Juta,used referral,Warisan,0,550000,-650000
3748704,2021-08-03 23:02:59,Female,50,Pengusaha,Rp 10 Juta - 50 Juta,used referral,Dari Orang Tua / Anak,2000000,0,0
3782668,2021-08-10 14:53:02,Male,54,Others,> Rp 100 Juta - 500 Juta,,Gaji,2000000,1000000,0
3827012,2021-08-13 21:56:17,Female,47,Swasta,Rp 10 Juta - 50 Juta,used referral,Gaji,1020000,520000,0
735709,2021-09-07 10:27:59,Female,47,IRT,< 10 Juta,,Keuntungan Bisnis,100000,0,0
3662561,2021-08-18 13:12:45,Male,61,Swasta,> Rp 50 Juta - 100 Juta,,Undian,0,0,-80000000
2244623,2021-09-24 18:05:04,Male,61,Swasta,> Rp 100 Juta - 500 Juta,,Gaji,500000,0,0
3069132,2021-09-16 05:52:05,Male,53,Swasta,> Rp 100 Juta - 500 Juta,,Gaji,500000,0,0
2010380,2021-10-17 17:38:06,Female,47,Pengusaha,< 10 Juta,,Tabungan,0,0,0
2663063,2021-08-20 11:22:23,Female,74,IRT,Rp 10 Juta - 50 Juta,,Gaji,100000,0,0
3679780,2021-08-05 14:07:26,Male,51,Swasta,< 10 Juta,,Dari Orang Tua / Anak,50000,0,0
1598521,2021-10-14 04:02:40,Male,50,Pengusaha,> Rp 50 Juta - 100 Juta,,Keuntungan Bisnis,0,0,0
3839208,2021-08-15 20:17:27,Male,47,Swasta,> Rp 500 Juta - 1 Miliar,used referral,Gaji,5000000,4000000,0
3796582,2021-08-09 01:25:52,Female,47,PNS,< 10 Juta,,Gaji,500777,300000,0
3748002,2021-08-03 19:56:58,Male,55,Swasta,> Rp 100 Juta - 500 Juta,used referral,Gaji,5000000,0,0
3742153,2021-08-02 19:54:06,Female,51,Swasta,> Rp 100 Juta - 500 Juta,,Gaji,116450000,106450000,0
3746961,2021-08-03 16:35:49,Male,56,Others,> Rp 100 Juta - 500 Juta,,Gaji,0,5650000,-6000000
3733536,2021-08-01 11:11:20,Female,56,Swasta,Rp 10 Juta - 50 Juta,,Hasil Investasi,4914373,18724000,-14309627
3751074,2021-08-04 10:06:02,Male,54,Swasta,Rp 10 Juta - 50 Juta,,Keuntungan Bisnis,100000,140000,-140000
3715510,2021-08-12 16:34:51,Female,51,IRT,< 10 Juta,used referral,Dari Suami / istri,425000,225000,0
3768917,2021-08-06 10:21:41,Male,54,Swasta,> Rp 100 Juta - 500 Juta,,Gaji,550000,300000,0
3894270,2021-08-24 14:25:04,Male,52,Swasta,> Rp 100 Juta - 500 Juta,used referral,Gaji,50000,0,0
3757344,2021-08-05 09:49:22,Male,50,PNS,> Rp 100 Juta - 500 Juta,,Gaji,6000000,5000000,0
3875988,2021-08-21 19:46:38,Female,54,IRT,< 10 Juta,,Dari Orang Tua / Anak,1000000,500000,0
3900533,2021-08-26 11:03:09,Male,50,Swasta,Rp 10 Juta - 50 Juta,,Gaji,100000,0,0
3830981,2021-08-14 15:46:16,Male,54,PNS,< 10 Juta,,Gaji,100000,0,0
3746588,2021-08-03 15:13:47,Male,59,Swasta,Rp 10 Juta - 50 Juta,,Gaji,13850000,14450000,-1700000
3864719,2021-08-19 22:01:59,Male,53,Swasta,Rp 10 Juta - 50 Juta,,Gaji,11752368,12752368,-2000000
3805072,2021-08-10 11:48:45,Female,54,IRT,< 10 Juta,used referral,Undian,40000000,0,0
3831409,2021-08-14 16:49:54,Male,50,Swasta,> Rp 50 Juta - 100 Juta,used referral,Gaji,600000,400000,0
3748593,2021-08-03 22:30:22,Female,56,IRT,> Rp 100 Juta - 500 Juta,,Gaji,100000,0,0
3731608,2021-08-03 14:39:41,Female,65,Pengusaha,> Rp 100 Juta - 500 Juta,,Lainnya,0,0,0
3746306,2021-08-03 14:21:13,Male,50,Pengusaha,> Rp 100 Juta - 500 Juta,,Gaji,300000,100000,0
3840547,2021-08-17 15:50:28,Female,51,IRT,> Rp 50 Juta - 100 Juta,used referral,Keuntungan Bisnis,325000,225000,0
1196195,2021-08-09 09:38:10,Male,51,Swasta,> Rp 50 Juta - 100 Juta,,Gaji,400000,200000,0
3880270,2021-08-22 14:52:24,Male,47,Swasta,> Rp 50 Juta - 100 Juta,used referral,Gaji,425000,125000,0
3787804,2021-08-07 20:34:16,Female,56,PNS,> Rp 50 Juta - 100 Juta,,Gaji,9160500,9160500,-3000000
3736667,2021-08-05 16:39:37,Male,67,Swasta,> Rp 100 Juta - 500 Juta,,Gaji,100000,0,0
3874555,2021-08-21 14:41:25,Male,54,Swasta,Rp 10 Juta - 50 Juta,,Gaji,100000,0,0
3880009,2021-08-22 13:03:19,Female,59,Swasta,> Rp 50 Juta - 100 Juta,,Dari Orang Tua / Anak,830000,300000,-470000
3757310,2021-08-05 09:49:22,Male,51,PNS,Rp 10 Juta - 50 Juta,,Gaji,50000,0,0
3836811,2021-08-15 13:18:51,Male,54,Swasta,> Rp 100 Juta - 500 Juta,,Gaji,2000000,0,0
3848319,2021-08-18 09:53:53,Female,54,Swasta,Rp 10 Juta - 50 Juta,,Dari Orang Tua / Anak,2000000,1000000,0
3814256,2021-08-12 09:32:29,Female,47,Others,> Rp 100 Juta - 500 Juta,used referral,Gaji,0,1500000,-2000000
3890589,2021-08-24 04:13:26,Female,47,IRT,Rp 10 Juta - 50 Juta,used referral,Dari Orang Tua / Anak,0,50000,-100000
3792729,2021-08-08 13:58:39,Male,47,Swasta,< 10 Juta,used referral,Tabungan,2000000,1000000,0
3827442,2021-08-14 09:53:10,Male,53,Others,> Rp 100 Juta - 500 Juta,,Gaji,554203,1502886,-1048683
3589584,2021-08-26 02:40:12,Female,52,Swasta,< 10 Juta,,Tabungan,3875600,6270000,-2394400
3827659,2021-08-14 13:08:40,Male,53,Swasta,Rp 10 Juta - 50 Juta,,Keuntungan Bisnis,100000,0,0
3885443,2021-08-23 10:23:44,Female,47,PNS,Rp 10 Juta - 50 Juta,,Gaji,0,1000000,-1100000
3736054,2021-08-01 21:57:14,Male,50,Guru,> Rp 50 Juta - 100 Juta,,Gaji,1000000,740000,-500000
3896269,2021-08-24 22:01:29,Male,50,Swasta,> Rp 50 Juta - 100 Juta,,Gaji,500000,380000,0
3872034,2021-08-25 11:36:11,Female,53,Swasta,Rp 10 Juta - 50 Juta,used referral,Keuntungan Bisnis,125000,25000,0
3863427,2021-08-19 18:09:13,Female,51,IRT,> Rp 100 Juta - 500 Juta,used referral,Keuntungan Bisnis,160000000,140000000,0
3846417,2021-08-16 22:00:23,Male,51,Swasta,Rp 10 Juta - 50 Juta,,Gaji,36000000,16000000,0
3836302,2021-08-16 10:38:42,Male,56,Others,< 10 Juta,,Gaji,100000,0,0
3833703,2021-08-15 13:01:23,Female,51,IRT,Rp 10 Juta - 50 Juta,,Dari Orang Tua / Anak,2700000,2600000,0
3001390,2021-08-29 02:04:52,Male,54,Swasta,Rp 10 Juta - 50 Juta,,Gaji,11540000,9640000,0
3870773,2021-08-20 23:06:25,Male,55,Others,> Rp 100 Juta - 500 Juta,,Gaji,100500000,88500000,0
3844083,2021-08-16 15:10:34,Female,58,IRT,Rp 10 Juta - 50 Juta,used referral,Gaji,21017591,16584470,-566879
3783278,2021-08-07 10:02:37,Male,51,Swasta,< 10 Juta,used referral,Gaji,425000,325000,0
3862690,2021-08-19 16:12:12,Male,51,Swasta,Rp 10 Juta - 50 Juta,,Gaji,200000,100000,0
2220168,2021-08-10 10:55:26,Male,59,Pensiunan,> Rp 50 Juta - 100 Juta,,Tabungan,7500000,5000000,0
3734478,2021-08-01 14:02:11,Female,60,PNS,> Rp 500 Juta - 1 Miliar,,Gaji,1000000,0,0
3832112,2021-08-14 18:55:13,Male,52,Swasta,> Rp 50 Juta - 100 Juta,,Gaji,2006383,2000000,-1493617
3873462,2021-08-21 10:39:46,Male,51,Swasta,> Rp 100 Juta - 500 Juta,used referral,Gaji,1025000,525000,0
3754194,2021-08-05 16:48:42,Female,50,Swasta,< 10 Juta,,Gaji,200000,0,0
3881720,2021-08-22 18:36:42,Male,47,Pengusaha,< 10 Juta,,Warisan,500000,200000,0
3925464,2021-08-29 05:43:31,Male,55,Pengusaha,< 10 Juta,,Keuntungan Bisnis,100000,0,0
3941817,2021-08-31 13:00:38,Female,62,PNS,< 10 Juta,,Lainnya,0,0,0
3902727,2021-10-01 00:22:42,Female,58,Swasta,< 10 Juta,,Lainnya,0,0,0
3949265,2021-09-01 12:30:24,Female,51,IRT,< 10 Juta,used referral,Gaji,100000,0,0
3908817,2021-08-26 15:38:00,Female,71,IRT,< 10 Juta,used referral,Undian,0,0,0
3913216,2021-08-27 09:07:41,Female,55,PNS,< 10 Juta,used referral,Gaji,30025000,25000,0
3909445,2021-08-26 17:45:36,Male,50,Swasta,< 10 Juta,,Keuntungan Bisnis,100000,0,0
3913945,2021-08-27 11:19:32,Male,51,Others,> Rp 1 Miliar,,Keuntungan Bisnis,300000,300000,-100000
3924629,2021-08-29 05:14:03,Female,54,Swasta,Rp 10 Juta - 50 Juta,,Gaji,100000,0,0
3936386,2021-08-30 19:02:10,Female,55,IRT,Rp 10 Juta - 50 Juta,,Hasil Investasi,320000,100000,0
3919928,2021-08-29 01:11:02,Female,51,Swasta,Rp 10 Juta - 50 Juta,used referral,Gaji,11000000,0,0
3924080,2021-08-29 05:14:11,Female,52,Swasta,Rp 10 Juta - 50 Juta,used referral,Gaji,4900000,2400000,0
3940572,2021-08-31 13:46:10,Female,54,IRT,Rp 10 Juta - 50 Juta,,Gaji,600000,300000,0
3949038,2021-09-01 09:22:40,Female,65,Swasta,Rp 10 Juta - 50 Juta,used referral,Gaji,0,4220000,-4740000
3950969,2021-09-01 13:14:54,Male,61,Guru,Rp 10 Juta - 50 Juta,,Keuntungan Bisnis,2250000,0,0
3920298,2021-09-02 06:30:21,Male,52,Swasta,Rp 10 Juta - 50 Juta,used referral,Tabungan,125000,25000,0
3943646,2021-09-02 08:46:11,Male,54,Swasta,Rp 10 Juta - 50 Juta,,Lainnya,100000,0,0
3949129,2021-09-01 09:32:51,Male,53,Swasta,> Rp 50 Juta - 100 Juta,used referral,Warisan,100000,0,0
3946315,2021-08-31 22:36:15,Male,52,Swasta,> Rp 50 Juta - 100 Juta,used referral,Gaji,250000,0,0
3916759,2021-08-27 19:21:30,Female,53,IRT,> Rp 50 Juta - 100 Juta,,Keuntungan Bisnis,0,0,-500000
3933455,2021-08-30 11:12:53,Female,47,IRT,> Rp 50 Juta - 100 Juta,,Dari Orang Tua / Anak,100000,0,0
3923048,2021-08-29 19:16:11,Male,50,Swasta,> Rp 50 Juta - 100 Juta,,Keuntungan Bisnis,3000000,0,0
3927334,2021-08-29 12:22:53,Female,53,Swasta,> Rp 50 Juta - 100 Juta,,Dari Orang Tua / Anak,1000000,0,0
3917646,2021-08-27 21:37:14,Male,57,Pengusaha,> Rp 50 Juta - 100 Juta,used referral,Keuntungan Bisnis,280000000,180000000,0
3933937,2021-08-30 15:51:11,Male,47,Pengusaha,> Rp 50 Juta - 100 Juta,used referral,Keuntungan Bisnis,3000000,2000000,0
3906921,2021-08-30 23:19:05,Male,47,Guru,> Rp 50 Juta - 100 Juta,,Gaji,200000,0,0
3908248,2021-09-07 09:12:47,Female,52,IRT,> Rp 50 Juta - 100 Juta,used referral,Dari Orang Tua / Anak,100000,0,0
3903656,2021-08-25 20:23:35,Male,57,Swasta,> Rp 100 Juta - 500 Juta,,Gaji,18500000,11500000,0
3917993,2021-08-29 06:59:41,Female,50,Swasta,> Rp 100 Juta - 500 Juta,used referral,Gaji,17125000,12125000,0
3918146,2021-08-29 01:11:11,Female,52,Swasta,> Rp 100 Juta - 500 Juta,,Gaji,5000000,0,0
3906793,2021-08-26 10:49:58,Female,57,IRT,> Rp 100 Juta - 500 Juta,,Keuntungan Bisnis,101400000,100400000,0
3839384,2021-08-15 20:51:47,Male,51,Swasta,> Rp 100 Juta - 500 Juta,used referral,Gaji,420862,767015,-646153
3922860,2021-08-29 04:35:12,Male,47,Swasta,> Rp 100 Juta - 500 Juta,,Keuntungan Bisnis,0,0,0
3940555,2021-08-31 10:20:06,Female,60,Swasta,> Rp 100 Juta - 500 Juta,used referral,Gaji,500000,300000,0
3916717,2021-08-27 19:34:24,Male,47,Pengusaha,> Rp 100 Juta - 500 Juta,,Gaji,1000000,0,0
3913104,2021-08-27 08:43:38,Male,53,Swasta,> Rp 100 Juta - 500 Juta,,Gaji,9200000,9100000,0
3917880,2021-08-29 02:04:46,Female,47,Swasta,> Rp 100 Juta - 500 Juta,used referral,Gaji,1325000,525000,0
3916101,2021-08-27 17:12:36,Male,51,Swasta,> Rp 100 Juta - 500 Juta,,Gaji,0,11441098,-15471098
3908934,2021-08-26 21:08:29,Male,61,Others,> Rp 100 Juta - 500 Juta,used referral,Keuntungan Bisnis,0,10000,-110000
3932521,2021-08-30 13:50:51,Male,47,Swasta,> Rp 500 Juta - 1 Miliar,,Gaji,4546551,3000000,-453449
4449875,2021-10-26 18:47:42,Female,50,IRT,< 10 Juta,used referral,Dari Suami / istri,0,0,0
4429451,2021-10-25 13:24:31,Male,55,Others,< 10 Juta,used referral,Gaji,0,0,0
4450318,2021-10-26 19:15:00,Female,55,IRT,< 10 Juta,used referral,Dari Orang Tua / Anak,0,0,0
4437285,2021-10-25 21:21:03,Male,60,Pengusaha,< 10 Juta,used referral,Gaji,0,0,0
4439908,2021-10-25 20:04:43,Male,50,PNS,Rp 10 Juta - 50 Juta,,Gaji,0,0,0
4439433,2021-10-25 17:01:34,Female,51,Swasta,Rp 10 Juta - 50 Juta,,Gaji,0,0,0
4429275,2021-10-24 17:58:32,Female,47,PNS,Rp 10 Juta - 50 Juta,,Gaji,0,0,0
4418563,2021-10-23 16:22:19,Female,60,IRT,Rp 10 Juta - 50 Juta,used referral,Keuntungan Bisnis,0,0,0
4415518,2021-10-23 10:51:48,Male,56,Others,Rp 10 Juta - 50 Juta,used referral,Keuntungan Bisnis,0,0,0
4424618,2021-10-24 08:49:37,Female,50,IRT,Rp 10 Juta - 50 Juta,used referral,Dari Suami / istri,0,0,0
4412730,2021-10-23 11:19:39,Male,52,Pengusaha,Rp 10 Juta - 50 Juta,used referral,Keuntungan Bisnis,0,0,0
4439046,2021-10-25 16:44:34,Male,56,Others,Rp 10 Juta - 50 Juta,used referral,Gaji,0,0,0
4416800,2021-10-23 12:53:52,Female,54,IRT,Rp 10 Juta - 50 Juta,used referral,Dari Suami / istri,0,0,0
4410283,2021-10-22 20:11:46,Female,57,IRT,Rp 10 Juta - 50 Juta,used referral,Keuntungan Bisnis,0,0,0
4414911,2021-10-23 09:57:19,Female,51,IRT,Rp 10 Juta - 50 Juta,used referral,Keuntungan Bisnis,0,0,0
4434894,2021-10-25 09:08:27,Male,52,Swasta,Rp 10 Juta - 50 Juta,,Gaji,0,0,0
4447711,2021-10-26 13:43:22,Female,47,Swasta,> Rp 50 Juta - 100 Juta,,Gaji,0,0,0
4423704,2021-10-24 19:48:26,Female,50,IRT,> Rp 50 Juta - 100 Juta,used referral,Keuntungan Bisnis,0,0,0
4418395,2021-10-23 16:35:16,Female,63,IRT,> Rp 50 Juta - 100 Juta,used referral,Tabungan,0,0,0
4432172,2021-10-25 11:08:29,Male,53,Pengusaha,> Rp 50 Juta - 100 Juta,used referral,Keuntungan Bisnis,0,0,0
4423632,2021-10-24 04:52:57,Male,56,Swasta,> Rp 50 Juta - 100 Juta,,Gaji,0,0,0
4416849,2021-10-23 13:11:27,Female,47,IRT,> Rp 50 Juta - 100 Juta,used referral,Dari Suami / istri,0,0,0
4418969,2021-10-23 17:00:12,Female,62,IRT,> Rp 50 Juta - 100 Juta,used referral,Warisan,0,0,0
4412996,2021-10-23 07:54:39,Male,55,Swasta,> Rp 50 Juta - 100 Juta,,Gaji,0,0,0
4436955,2021-10-25 12:39:39,Female,52,PNS,> Rp 50 Juta - 100 Juta,used referral,Gaji,0,0,0
4426995,2021-10-24 12:55:50,Female,54,Pengusaha,> Rp 50 Juta - 100 Juta,used referral,Keuntungan Bisnis,0,0,0
4428167,2021-10-24 14:55:18,Female,56,IRT,> Rp 50 Juta - 100 Juta,used referral,Tabungan,0,0,0
4440402,2021-10-26 08:49:38,Male,63,Swasta,> Rp 50 Juta - 100 Juta,,Gaji,0,0,0
4413281,2021-10-23 04:19:11,Male,51,PNS,> Rp 100 Juta - 500 Juta,,Gaji,0,0,0
4438090,2021-10-25 14:56:37,Male,50,Swasta,> Rp 100 Juta - 500 Juta,,Gaji,0,0,0
4428996,2021-10-24 16:32:02,Female,54,Swasta,> Rp 100 Juta - 500 Juta,used referral,Gaji,0,0,0
4420637,2021-10-23 20:18:00,Male,58,Others,> Rp 100 Juta - 500 Juta,used referral,Gaji,0,0,0
4431630,2021-10-24 21:56:38,Male,51,PNS,> Rp 100 Juta - 500 Juta,,Gaji,0,0,0
4417165,2021-10-23 13:23:19,Female,53,IRT,> Rp 100 Juta - 500 Juta,used referral,Keuntungan Bisnis,0,0,0
4411478,2021-10-23 17:24:34,Male,53,Others,> Rp 100 Juta - 500 Juta,used referral,Keuntungan Bisnis,0,0,0
4202511,2021-10-02 17:39:13,Male,63,Others,> Rp 500 Juta - 1 Miliar,,Gaji,0,0,0
4201752,2021-10-17 03:45:15,Male,61,Swasta,< 10 Juta,,Gaji,0,0,0
4170965,2021-09-30 07:23:06,Female,51,IRT,< 10 Juta,,Dari Suami / istri,0,0,0
4184885,2021-09-30 17:41:16,Female,56,Guru,< 10 Juta,,Dari Orang Tua / Anak,0,0,0
4224419,2021-10-05 09:00:14,Male,50,Swasta,< 10 Juta,,Keuntungan Bisnis,0,0,0
4156707,2021-09-27 11:24:33,Female,53,IRT,< 10 Juta,,Lainnya,0,0,0
4130584,2021-09-24 11:31:11,Female,53,IRT,< 10 Juta,used referral,Keuntungan Bisnis,0,0,0
4200770,2021-10-02 15:50:22,Female,53,IRT,< 10 Juta,used referral,Dari Orang Tua / Anak,0,0,0
4184146,2021-09-30 15:24:07,Male,60,Swasta,< 10 Juta,,Dari Orang Tua / Anak,0,0,0
4240770,2021-10-06 20:55:04,Female,57,IRT,< 10 Juta,used referral,Gaji,0,0,0
4203886,2021-10-04 15:52:15,Female,69,IRT,< 10 Juta,used referral,Gaji,0,0,0
4119078,2021-09-22 17:31:41,Female,56,IRT,< 10 Juta,used referral,Gaji,0,0,0
4198267,2021-10-02 07:07:01,Male,55,Swasta,< 10 Juta,,Gaji,0,0,0
4156897,2021-09-27 14:18:23,Male,51,Others,< 10 Juta,used referral,Gaji,10000,0,0
4153649,2021-09-26 23:23:50,Female,52,IRT,< 10 Juta,used referral,Gaji,10000,0,0
4238285,2021-10-06 16:16:30,Female,53,IRT,< 10 Juta,used referral,Keuntungan Bisnis,0,0,0
4179162,2021-10-01 22:16:21,Female,51,Swasta,Rp 10 Juta - 50 Juta,used referral,Keuntungan Bisnis,0,0,0
4174457,2021-09-29 12:43:53,Female,53,Guru,Rp 10 Juta - 50 Juta,,Gaji,0,0,0
4216371,2021-10-04 17:00:21,Female,54,IRT,Rp 10 Juta - 50 Juta,used referral,Keuntungan Bisnis,0,0,0
4221422,2021-10-13 10:50:30,Male,52,Swasta,Rp 10 Juta - 50 Juta,used referral,Keuntungan Bisnis,0,0,0
4181548,2021-09-30 09:22:26,Male,63,PNS,Rp 10 Juta - 50 Juta,,Gaji,0,0,0
4134353,2021-09-24 14:13:43,Female,51,IRT,Rp 10 Juta - 50 Juta,used referral,Gaji,50000000,0,0
4116746,2021-10-10 00:19:48,Male,47,Swasta,Rp 10 Juta - 50 Juta,,Keuntungan Bisnis,0,0,0
4247706,2021-10-09 08:30:50,Male,47,Swasta,Rp 10 Juta - 50 Juta,,Gaji,0,0,0
4112940,2021-09-22 09:44:32,Female,51,IRT,Rp 10 Juta - 50 Juta,used referral,Keuntungan Bisnis,0,0,-11000
4203383,2021-10-02 18:57:01,Female,52,IRT,Rp 10 Juta - 50 Juta,used referral,Dari Suami / istri,0,0,0
4230066,2021-10-05 21:41:05,Female,52,IRT,Rp 10 Juta - 50 Juta,,Gaji,0,0,0
4215910,2021-10-04 10:19:56,Female,47,IRT,Rp 10 Juta - 50 Juta,,Keuntungan Bisnis,0,0,0
4137567,2021-09-30 15:45:37,Female,56,Others,Rp 10 Juta - 50 Juta,,Dari Orang Tua / Anak,0,0,0
4246871,2021-10-08 17:03:29,Male,50,Swasta,Rp 10 Juta - 50 Juta,used referral,Gaji,0,0,0
4161947,2021-10-02 15:50:32,Male,52,Swasta,Rp 10 Juta - 50 Juta,,Gaji,0,0,0
4184112,2021-10-06 18:39:47,Male,56,Pengusaha,Rp 10 Juta - 50 Juta,used referral,Keuntungan Bisnis,0,0,0
4224071,2021-10-05 14:24:17,Male,54,Others,Rp 10 Juta - 50 Juta,used referral,Gaji,0,0,0
4151208,2021-09-26 15:47:14,Female,55,Swasta,Rp 10 Juta - 50 Juta,,Dari Orang Tua / Anak,0,0,0
4157513,2021-09-27 13:13:40,Female,51,IRT,Rp 10 Juta - 50 Juta,used referral,Keuntungan Bisnis,5000000,0,0
4148792,2021-09-26 09:37:09,Female,55,Others,Rp 10 Juta - 50 Juta,used referral,Gaji,10000000,0,0
4120099,2021-09-22 20:12:39,Female,52,IRT,Rp 10 Juta - 50 Juta,used referral,Gaji,10000,0,0
4194196,2021-10-01 17:51:42,Male,71,Swasta,Rp 10 Juta - 50 Juta,,Gaji,0,0,0
4176798,2021-09-29 18:16:46,Female,56,IRT,Rp 10 Juta - 50 Juta,used referral,Tabungan,0,0,0
4160675,2021-09-29 23:31:46,Female,55,IRT,Rp 10 Juta - 50 Juta,,Gaji,0,0,0
4170311,2021-09-29 00:04:16,Female,60,IRT,Rp 10 Juta - 50 Juta,,Dari Orang Tua / Anak,0,0,0
4178163,2021-09-29 22:21:59,Female,50,Swasta,Rp 10 Juta - 50 Juta,used referral,Keuntungan Bisnis,0,0,0
4184373,2021-10-06 15:18:15,Female,52,IRT,Rp 10 Juta - 50 Juta,used referral,Keuntungan Bisnis,0,0,0
4230415,2021-10-05 21:57:06,Male,47,Swasta,> Rp 50 Juta - 100 Juta,,Gaji,0,0,0
4124406,2021-09-23 11:02:08,Male,56,Swasta,> Rp 50 Juta - 100 Juta,,Gaji,100000,0,0
